date,equity,cash,gross_exposure,positions_count,portfolio_drawdown_pct,risk_state,risk_target_exposure_pct
2004-09-14,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-09-15,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-09-16,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-09-17,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-09-20,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-09-21,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-09-22,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-09-23,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-09-24,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-09-27,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-09-28,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-09-29,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-09-30,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-01,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-10-04,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-05,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-10-06,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-07,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-10-08,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-11,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-10-12,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-13,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-14,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-15,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-18,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-19,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-20,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-21,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-22,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-25,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-26,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-27,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-10-28,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-10-29,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-01,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-02,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-03,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-04,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-05,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-08,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-09,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-10,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-11,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-12,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-15,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-16,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-17,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-18,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-19,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-22,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-23,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-24,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-26,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-11-29,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-11-30,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-01,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-02,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-03,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-06,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-07,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-08,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-09,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-10,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-13,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-14,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-15,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-16,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-17,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-20,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-21,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-22,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-23,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-27,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-28,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-29,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2004-12-30,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2004-12-31,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-03,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-01-04,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-05,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-06,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-01-07,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-10,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-01-11,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-12,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-13,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-14,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-18,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-01-19,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-20,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-21,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-24,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-25,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-26,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-27,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-28,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-01-31,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-01,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-02,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-02-03,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-04,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-02-07,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-08,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-02-09,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-10,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-02-11,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-14,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-02-15,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-16,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-02-17,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-18,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-02-22,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-23,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-02-24,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-02-25,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-02-28,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-01,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-03-02,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-03,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-03-04,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-07,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-03-08,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-09,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-03-10,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-11,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-03-14,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-15,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-03-16,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-17,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-18,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-21,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-22,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-23,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-24,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-28,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-29,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-30,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-03-31,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-01,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-04,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-05,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-06,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-07,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-08,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-11,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-12,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-13,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-14,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-15,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-18,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-19,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-20,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-21,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-22,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-25,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-26,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-27,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-28,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-04-29,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-02,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-03,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-04,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-05,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-06,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-09,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-10,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-11,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-12,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-13,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-16,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-17,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-05-18,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-19,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-05-20,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-23,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-05-24,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-25,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-05-26,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-05-27,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-05-31,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-01,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-06-02,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-03,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-06-06,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-07,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-06-08,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-09,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-06-10,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-13,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-06-14,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-15,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-06-16,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-17,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-06-20,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-21,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-06-22,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-23,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,normal,100.0
2005-06-24,8382.226767110393,8382.226767110393,0.0,0,-44.39379249301629,crisis,0.0
2005-06-27,8362.157588897038,-1.3642420526593924e-12,8362.15758889704,6,-44.39379249301629,normal,100.0
2005-06-28,8417.533911022098,8417.533911022098,0.0,0,-44.02523171088129,crisis,0.0
2005-06-29,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-06-30,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-01,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-05,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-06,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-07,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-08,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-11,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-12,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-13,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-14,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-15,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-18,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-19,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-20,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-21,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-22,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-25,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-26,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-27,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-07-28,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,normal,100.0
2005-07-29,8417.533911022098,8417.533911022098,0.0,0,-44.159571154775165,crisis,0.0
2005-08-01,8397.38019854559,1.3642420526593924e-12,8397.380198545588,6,-44.159571154775165,normal,100.0
2005-08-02,8425.47787720364,8425.47787720364,0.0,0,-43.97240606491313,crisis,0.0
2005-08-03,8425.47787720364,8425.47787720364,0.0,0,-44.106872290357344,normal,100.0
2005-08-04,8425.47787720364,8425.47787720364,0.0,0,-44.106872290357344,crisis,0.0
2005-08-05,8425.47787720364,8425.47787720364,0.0,0,-44.106872290357344,normal,100.0
2005-08-08,8425.47787720364,8425.47787720364,0.0,0,-44.106872290357344,crisis,0.0
2005-08-09,8425.47787720364,8425.47787720364,0.0,0,-44.106872290357344,normal,100.0
2005-08-10,8425.47787720364,8425.47787720364,0.0,0,-44.106872290357344,crisis,0.0
2005-08-11,8425.47787720364,8425.47787720364,0.0,0,-44.106872290357344,normal,100.0
